Component,Origin,License,Copyright
@babel/cli@npm:7.8.0,https://yarnpkg.com/package/@babel/cli,MIT,
@babel/code-frame@npm:7.5.5,https://yarnpkg.com/package/@babel/code-frame,MIT,
@babel/code-frame@npm:7.8.0,https://yarnpkg.com/package/@babel/code-frame,MIT,
@babel/core@npm:7.7.4,https://yarnpkg.com/package/@babel/core,MIT,
@babel/core@npm:7.8.0,https://yarnpkg.com/package/@babel/core,MIT,
@babel/generator@npm:7.7.4,https://yarnpkg.com/package/@babel/generator,MIT,
@babel/generator@npm:7.8.0,https://yarnpkg.com/package/@babel/generator,MIT,
@babel/helper-create-class-features-plugin@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-create-class-features-plugin,MIT,
@babel/helper-function-name@npm:7.7.4,https://yarnpkg.com/package/@babel/helper-function-name,MIT,
@babel/helper-function-name@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-function-name,MIT,
@babel/helper-get-function-arity@npm:7.7.4,https://yarnpkg.com/package/@babel/helper-get-function-arity,MIT,
@babel/helper-get-function-arity@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-get-function-arity,MIT,
@babel/helper-member-expression-to-functions@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-member-expression-to-functions,MIT,
@babel/helper-module-imports@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-module-imports,MIT,
@babel/helper-module-transforms@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-module-transforms,MIT,
@babel/helper-optimise-call-expression@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-optimise-call-expression,MIT,
@babel/helper-plugin-utils@npm:7.0.0,https://yarnpkg.com/package/@babel/helper-plugin-utils,MIT,
@babel/helper-plugin-utils@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-plugin-utils,MIT,
@babel/helper-replace-supers@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-replace-supers,MIT,
@babel/helper-simple-access@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-simple-access,MIT,
@babel/helper-split-export-declaration@npm:7.7.4,https://yarnpkg.com/package/@babel/helper-split-export-declaration,MIT,
@babel/helper-split-export-declaration@npm:7.8.0,https://yarnpkg.com/package/@babel/helper-split-export-declaration,MIT,
@babel/helpers@npm:7.7.4,https://yarnpkg.com/package/@babel/helpers,MIT,
@babel/helpers@npm:7.8.0,https://yarnpkg.com/package/@babel/helpers,MIT,
@babel/highlight@npm:7.5.0,https://yarnpkg.com/package/@babel/highlight,MIT,
@babel/highlight@npm:7.8.0,https://yarnpkg.com/package/@babel/highlight,MIT,
@babel/parser@npm:7.7.4,https://yarnpkg.com/package/@babel/parser,MIT,
@babel/parser@npm:7.8.0,https://yarnpkg.com/package/@babel/parser,MIT,
@babel/plugin-syntax-object-rest-spread@npm:7.7.4,https://yarnpkg.com/package/@babel/plugin-syntax-object-rest-spread,MIT,
